0,1,2,3,4,5
68.53,42.89,73.29,71.71,78.16,38.92
68.51,43.36,73.72,72.46,79.73,39.11
68.02,42.78,73.03,71.85,78.93,38.84
68.6,42.81,74.51,71.97,79.35,39.06
68.5,43.13,75.66,72.54,79.42,39.08
67.76,42.57,75.41,72.38,79.42,39.17
66.26,42.01,75.45,71.52,77.84,38.54
66.95,41.75,76.48,71.54,77.26,38.975
66.93,42.1,75.82,72.44,77.3,39.03
66.38,41.34,74.85,71.74,77.01,38.81
66.69,41.4,75.99,72.56,77.11,39.19
66.55,42.72,76.15,73.35,77.1,39.57
66.73,42.92,76.53,74.04,78.32,39.11
66.49,43.05,77.3,74.06,78.66,38.9
67.7,43.89,78.33,74.25,80.22,38.94
68.65,44.2,77.79,74.63,80.93,39.43
68.51,44.35,78.1,75.18,81.02,39.43
68.41,44.14,77.25,74.74,80.23,39.47
68.52,43.66,77.72,74.48,79.8,39.6
69.11,44.02,77.92,75.12,79.89,40.07
70.01,44.29,77.79,74.31,80.36,40.28
73.95,44.65,79.22,73.04,81.58,40.43
75.14,44.3,79.64,70.84,81.75,40.45
75.52,44.43,78.63,70.57,81.31,40.24
75.53,43.96,78.53,71.82,81.07,40.33
76.02,44.3,78.51,72.32,80.84,40.94
75.5,44.28,78.72,71.98,80.94,40.35
75.42,44.19,78.79,72.16,80.7,40.59
75.07,43.93,78.33,71.99,80.39,40.3
74.44,43.65,77.34,71.61,80.89,40.29
73.65,44.28,78.69,72.58,81.19,40.3
73.63,44.3,79.96,72.57,81.23,39.89
72.72,43.81,79.89,72.52,79.35,39.5
72.83,44.1,80.14,72.99,80.65,39.39
72.15,43.81,79.54,72.17,79.49,39.48
71.38,43.83,78.77,71.48,78.28,38.89
71.25,43.93,78.53,71.38,78.27,38.82
72.93,44.74,80.79,73.98,80.55,39.685
73.1,45.17,81.1,74.27,80.61,40.1
73.69,45.64,81.31,74.72,79.91,40.39
72.63,45.37,80.81,73.87,78.92,39.56
73.85,45.98,82.31,75.19,79.74,39.91
74.2,46.64,82.39,71.37,80.77,40.19
75.39,47.01,84.06,68.76,78.65,40.3
75.1,46.97,84.0,68.2,78.09,40.5
76.36,47.62,83.56,68.86,78.2,40.52
75.85,47.75,81.92,68.01,78.4,38.94
75.58,47.67,83.09,67.61,78.84,38.99
77.54,47.7,83.2,67.62,79.09,38.87
78.07,47.4,83.16,66.94,79.08,39.41
79.71,47.5,83.5,68.08,79.49,40.295
80.24,47.5,80.32,68.01,79.1,39.95
79.09,47.45,81.2,68.26,78.83,42.96
78.77,47.22,80.93,68.63,78.99,42.54
78.62,47.28,81.73,68.95,80.53,42.62
78.69,47.07,80.49,68.72,80.21,42.66
80.05,47.35,81.0,70.29,80.96,42.97
79.43,46.77,78.78,69.76,79.48,42.16
